description,error,success,path,brief_description,group,correct,total
"CompilationError('run_dir/FIND_N_TH_ELEMENT_FROM_STERNS_DIATOMIC_SERIES.d(7): Error: instead of C-style syntax, use D-style `int[n + 1] DP`\n')",Compilation,False,FIND_N_TH_ELEMENT_FROM_STERNS_DIATOMIC_SERIES.d,"Error: instead of C-style syntax, use D-style `int[n + 1] DP`",2,,
"CompilationError('run_dir/COUNT_DERANGEMENTS_PERMUTATION_SUCH_THAT_NO_ELEMENT_APPEARS_IN_ITS_ORIGINAL_POSITION_1.d(7): Error: instead of C-style syntax, use D-style `int[n + 1] der`\nrun_dir/COUNT_DERANGEMENTS_PERMUTATION_SUCH_THAT_NO_ELEMENT_APPEARS_IN_ITS_ORIGINAL_POSITION_1.d(7): Error: multiple declarations must have the same type, not `int[n + 1]` and `int`\nrun_dir/COUNT_DERANGEMENTS_PERMUTATION_SUCH_THAT_NO_ELEMENT_APPEARS_IN_ITS_ORIGINAL_POSITION_1.d(7): Error: no identifier for declarator `int`\n')",Compilation,False,COUNT_DERANGEMENTS_PERMUTATION_SUCH_THAT_NO_ELEMENT_APPEARS_IN_ITS_ORIGINAL_POSITION_1.d,"Error: instead of C-style syntax, use D-style `int[n + 1] der`",2,,
"CompilationError('run_dir/MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE.d(8): Error: instead of C-style syntax, use D-style `int[N] dp`\n')",Compilation,False,MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE.d,"Error: instead of C-style syntax, use D-style `int[N] dp`",2,,
"CompilationError('run_dir/COUNT_OFDIFFERENT_WAYS_EXPRESS_N_SUM_1_3_4.d(7): Error: instead of C-style syntax, use D-style `int[n + 1] DP`\n')",Compilation,False,COUNT_OFDIFFERENT_WAYS_EXPRESS_N_SUM_1_3_4.d,"Error: instead of C-style syntax, use D-style `int[n + 1] DP`",2,,
"CompilationError('run_dir/CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS.d(6): Error: instead of C-style syntax, use D-style `int[][] mat`\n')",Compilation,False,CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS.d,"Error: instead of C-style syntax, use D-style `int[][] mat`",2,,
"CompilationError('run_dir/COUNT_BINARY_STRINGS_K_TIMES_APPEARING_ADJACENT_TWO_SET_BITS.d(7): Error: instead of C-style syntax, use D-style `int[2][k + 1][n + 1] dp`\n')",Compilation,False,COUNT_BINARY_STRINGS_K_TIMES_APPEARING_ADJACENT_TWO_SET_BITS.d,"Error: instead of C-style syntax, use D-style `int[2][k + 1][n + 1] dp`",2,,
"CompilationError('run_dir/MAXIMUM_DIFFERENCE_SUM_ELEMENTS_TWO_ROWS_MATRIX.d(6): Error: instead of C-style syntax, use D-style `int[][] mat`\nrun_dir/MAXIMUM_DIFFERENCE_SUM_ELEMENTS_TWO_ROWS_MATRIX.d(7): Error: instead of C-style syntax, use D-style `int[] rowSum`\n')",Compilation,False,MAXIMUM_DIFFERENCE_SUM_ELEMENTS_TWO_ROWS_MATRIX.d,"Error: instead of C-style syntax, use D-style `int[][] mat`",2,,
"CompilationError('run_dir/CHECK_GIVEN_CIRCLE_LIES_COMPLETELY_INSIDE_RING_FORMED_TWO_CONCENTRIC_CIRCLES.d(7): Error: C style cast illegal, use `cast(int)sqrt(x1 * x1 + y1 * y1)`\n')",Compilation,False,CHECK_GIVEN_CIRCLE_LIES_COMPLETELY_INSIDE_RING_FORMED_TWO_CONCENTRIC_CIRCLES.d,"Error: C style cast illegal, use `cast(int)sqrt(x1 * x1 + y1 * y1)`",3,,
"CompilationError('run_dir/COUNT_DIGITS_FACTORIAL_SET_1.d(13): Error: C style cast illegal, use `cast(int)floor(digits)`\n')",Compilation,False,COUNT_DIGITS_FACTORIAL_SET_1.d,"Error: C style cast illegal, use `cast(int)floor(digits)`",3,,
"CompilationError(""run_dir/FORM_MINIMUM_NUMBER_FROM_GIVEN_SEQUENCE_1.d(14): Error: C style cast illegal, use `cast(int)'0'`\nrun_dir/FORM_MINIMUM_NUMBER_FROM_GIVEN_SEQUENCE_1.d(14): Error: C style cast illegal, use `cast(char)(cast(int)'0' + count++)`\n"")",Compilation,False,FORM_MINIMUM_NUMBER_FROM_GIVEN_SEQUENCE_1.d,"Error: C style cast illegal, use `cast(int)'0'`",3,,
"CompilationError('run_dir/POSITION_OF_RIGHTMOST_SET_BIT.d(7): Error: C style cast illegal, use `cast(int)(log10(n & -n) / log10(2))`\n')",Compilation,False,POSITION_OF_RIGHTMOST_SET_BIT.d,"Error: C style cast illegal, use `cast(int)(log10(n & -n) / log10(2))`",3,,
"CompilationError('run_dir/NUMBER_WAYS_NODE_MAKE_LOOP_SIZE_K_UNDIRECTED_COMPLETE_CONNECTED_GRAPH_N_NODES.d(9): Error: C style cast illegal, use `cast(int)((n - 1) * *k + p * (n - 1))`\n')",Compilation,False,NUMBER_WAYS_NODE_MAKE_LOOP_SIZE_K_UNDIRECTED_COMPLETE_CONNECTED_GRAPH_N_NODES.d,"Error: C style cast illegal, use `cast(int)((n - 1) * *k + p * (n - 1))`",3,,
"CompilationError('run_dir/MINIMUM_COST_FOR_ACQUIRING_ALL_COINS_WITH_K_EXTRA_COINS_ALLOWED_WITH_EVERY_COIN.d(8): Error: C style cast illegal, use `cast(int)ceil(n / (k + 1))`\n')",Compilation,False,MINIMUM_COST_FOR_ACQUIRING_ALL_COINS_WITH_K_EXTRA_COINS_ALLOWED_WITH_EVERY_COIN.d,"Error: C style cast illegal, use `cast(int)ceil(n / (k + 1))`",3,,
"CompilationError('run_dir/CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1.d(7): Error: C style cast illegal, use `cast(int)log(y)`\nrun_dir/CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1.d(7): Error: C style cast illegal, use `cast(int)log(x)`\n')",Compilation,False,CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1.d,"Error: C style cast illegal, use `cast(int)log(y)`",3,,
"CompilationError('run_dir/FIND_LAST_DIGIT_FACTORIAL_DIVIDES_FACTORIAL_B.d(11): Error: C style cast illegal, use `cast(int)(variable * (i % 10) % 10)`\n')",Compilation,False,FIND_LAST_DIGIT_FACTORIAL_DIVIDES_FACTORIAL_B.d,"Error: C style cast illegal, use `cast(int)(variable * (i % 10) % 10)`",3,,
"CompilationError('run_dir/MINIMUM_PERIMETER_N_BLOCKS.d(8): Error: C style cast illegal, use `cast(int)Math.sqrt(n)`\n')",Compilation,False,MINIMUM_PERIMETER_N_BLOCKS.d,"Error: C style cast illegal, use `cast(int)Math.sqrt(n)`",3,,
"CompilationError('run_dir/SUM_SERIES_555555_N_TERMS.d(7): Error: C style cast illegal, use `cast(int)(0.6172 * (10.0 * *n - 1) - 0.55 * n)`\n')",Compilation,False,SUM_SERIES_555555_N_TERMS.d,"Error: C style cast illegal, use `cast(int)(0.6172 * (10.0 * *n - 1) - 0.55 * n)`",3,,
"CompilationError('run_dir/TRIANGULAR_NUMBERS_1.d(13): Error: C style cast illegal, use `cast(float)Math.sqrt(d)`\nrun_dir/TRIANGULAR_NUMBERS_1.d(14): Error: C style cast illegal, use `cast(float)Math.sqrt(d)`\n')",Compilation,False,TRIANGULAR_NUMBERS_1.d,"Error: C style cast illegal, use `cast(float)Math.sqrt(d)`",3,,
"CompilationError('run_dir/AREA_OF_THE_CIRCLE_THAT_HAS_A_SQUARE_AND_A_CIRCLE_INSCRIBED_IN_IT.d(7): Error: C style cast illegal, use `cast(float)(Math.PI * a * a)`\n')",Compilation,False,AREA_OF_THE_CIRCLE_THAT_HAS_A_SQUARE_AND_A_CIRCLE_INSCRIBED_IN_IT.d,"Error: C style cast illegal, use `cast(float)(Math.PI * a * a)`",3,,
"CompilationError(""run_dir/STRING_K_DISTINCT_CHARACTERS_NO_CHARACTERS_ADJACENT.d(8): Error: C style cast illegal, use `cast(char)('a' + i)`\nrun_dir/STRING_K_DISTINCT_CHARACTERS_NO_CHARACTERS_ADJACENT.d(11): Error: C style cast illegal, use `cast(char)('a' + count)`\n"")",Compilation,False,STRING_K_DISTINCT_CHARACTERS_NO_CHARACTERS_ADJACENT.d,"Error: C style cast illegal, use `cast(char)('a' + i)`",3,,
"CompilationError('run_dir/MAXIMUM_HEIGHT_OF_TRIANGULAR_ARRANGEMENT_OF_ARRAY_VALUES_1.d(7): Error: C style cast illegal, use `cast(int)Math.floor((-1 + Math.sqrt(1 + 8 * n)) / 2)`\n')",Compilation,False,MAXIMUM_HEIGHT_OF_TRIANGULAR_ARRANGEMENT_OF_ARRAY_VALUES_1.d,"Error: C style cast illegal, use `cast(int)Math.floor((-1 + Math.sqrt(1 + 8 * n)) / 2)`",3,,
"CompilationError('run_dir/HEIGHT_COMPLETE_BINARY_TREE_HEAP_N_NODES.d(7): Error: C style cast illegal, use `cast(int)ceil(log2(N + 1))`\n')",Compilation,False,HEIGHT_COMPLETE_BINARY_TREE_HEAP_N_NODES.d,"Error: C style cast illegal, use `cast(int)ceil(log2(N + 1))`",3,,
"CompilationError('run_dir/PROGRAM_TO_FIND_THE_AREA_OF_PENTAGON.d(8): Error: C style cast illegal, use `cast(float)(sqrt(5 * (5 + 2 * sqrt(5))) * a * a)`\n')",Compilation,False,PROGRAM_TO_FIND_THE_AREA_OF_PENTAGON.d,"Error: C style cast illegal, use `cast(float)(sqrt(5 * (5 + 2 * sqrt(5))) * a * a)`",3,,
"CompilationError('run_dir/FIND_UNIT_DIGIT_X_RAISED_POWER_Y_1.d(9): Error: C style cast illegal, use `cast(int)Math.pow(x, y)`\n')",Compilation,False,FIND_UNIT_DIGIT_X_RAISED_POWER_Y_1.d,"Error: C style cast illegal, use `cast(int)Math.pow(x, y)`",3,,
"CompilationError('run_dir/NUMBER_DAYS_TANK_WILL_BECOME_EMPTY.d(10): Error: C style cast illegal, use `cast(int)(Math.ceil(eq_root) + l)`\n')",Compilation,False,NUMBER_DAYS_TANK_WILL_BECOME_EMPTY.d,"Error: C style cast illegal, use `cast(int)(Math.ceil(eq_root) + l)`",3,,
"CompilationError('run_dir/COUNT_SUM_OF_DIGITS_IN_NUMBERS_FROM_1_TO_N.d(9): Error: C style cast illegal, use `cast(int)Math.log10(n)`\nrun_dir/COUNT_SUM_OF_DIGITS_IN_NUMBERS_FROM_1_TO_N.d(10): Error: instead of C-style syntax, use D-style `int[] a`\nrun_dir/COUNT_SUM_OF_DIGITS_IN_NUMBERS_FROM_1_TO_N.d(13): Error: C style cast illegal, use `cast(int)Math.ceil(Math.pow(10, i - 1))`\nrun_dir/COUNT_SUM_OF_DIGITS_IN_NUMBERS_FROM_1_TO_N.d(14): Error: C style cast illegal, use `cast(int)Math.ceil(Math.pow(10, d))`\n')",Compilation,False,COUNT_SUM_OF_DIGITS_IN_NUMBERS_FROM_1_TO_N.d,"Error: C style cast illegal, use `cast(int)Math.log10(n)`",3,,
"CompilationError('run_dir/CIRCLE_LATTICE_POINTS.d(13): Error: C style cast illegal, use `cast(int)Math.sqrt(ySquare)`\n')",Compilation,False,CIRCLE_LATTICE_POINTS.d,"Error: C style cast illegal, use `cast(int)Math.sqrt(ySquare)`",3,,
"CompilationError('run_dir/N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2.d(8): Error: C style cast illegal, use `cast(int)log10(nthElement)`\n')",Compilation,False,N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2.d,"Error: C style cast illegal, use `cast(int)log10(nthElement)`",3,,
"CompilationError('run_dir/SUM_SERIES_23_45_67_89_UPTO_N_TERMS.d(17): Error: C style cast illegal, use `cast(double)++i`\nrun_dir/SUM_SERIES_23_45_67_89_UPTO_N_TERMS.d(22): Error: C style cast illegal, use `cast(double)++i`\n')",Compilation,False,SUM_SERIES_23_45_67_89_UPTO_N_TERMS.d,"Error: C style cast illegal, use `cast(double)++i`",3,,
"CompilationError('run_dir/FIND_ONE_EXTRA_CHARACTER_STRING_1.d(14): Error: C style cast illegal, use `cast(char)res`\n')",Compilation,False,FIND_ONE_EXTRA_CHARACTER_STRING_1.d,"Error: C style cast illegal, use `cast(char)res`",3,,
"CompilationError('run_dir/PROGRAM_PRINT_SUM_GIVEN_NTH_TERM_1.d(7): Error: C style cast illegal, use `cast(int)pow(n, 2)`\n')",Compilation,False,PROGRAM_PRINT_SUM_GIVEN_NTH_TERM_1.d,"Error: C style cast illegal, use `cast(int)pow(n, 2)`",3,,
"CompilationError('run_dir/EVEN_FIBONACCI_NUMBERS_SUM.d(17): Error: C style cast illegal, use `cast(int)sum`\n')",Compilation,False,EVEN_FIBONACCI_NUMBERS_SUM.d,"Error: C style cast illegal, use `cast(int)sum`",3,,
"CompilationError('run_dir/NUMBER_DIGITS_PRODUCT_TWO_NUMBERS_1.d(8): Error: C style cast illegal, use `cast(int)floor(log10(abs(a)) + log10(abs(b)))`\n')",Compilation,False,NUMBER_DIGITS_PRODUCT_TWO_NUMBERS_1.d,"Error: C style cast illegal, use `cast(int)floor(log10(abs(a)) + log10(abs(b)))`",3,,
"CompilationError('run_dir/LEXICOGRAPHICALLY_NEXT_STRING.d(11): Error: C style cast illegal, use `cast(int)str[i]`\nrun_dir/LEXICOGRAPHICALLY_NEXT_STRING.d(11): Error: C style cast illegal, use `cast(char)(cast(int)str[i] + 1)`\n')",Compilation,False,LEXICOGRAPHICALLY_NEXT_STRING.d,"Error: C style cast illegal, use `cast(int)str[i]`",3,,
CompilationError('run_dir/MULTIPLY_LARGE_INTEGERS_UNDER_LARGE_MODULO.d(10): Error: `1 > 0` must be surrounded by parentheses when next to operator `&`\n'),Compilation,False,MULTIPLY_LARGE_INTEGERS_UNDER_LARGE_MODULO.d,Error: `1 > 0` must be surrounded by parentheses when next to operator `&`,4,,
CompilationError('run_dir/PRODUCT_NODES_K_TH_LEVEL_TREE_REPRESENTED_STRING.d(9): Error: cannot implicitly convert expression `tree.length` of type `ulong` to `int`\n'),Compilation,False,PRODUCT_NODES_K_TH_LEVEL_TREE_REPRESENTED_STRING.d,Error: cannot implicitly convert expression `tree.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/NUMBER_OF_SUBSTRINGS_WITH_ODD_DECIMAL_VALUE_IN_A_BINARY_STRING.d(7): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\n'),Compilation,False,NUMBER_OF_SUBSTRINGS_WITH_ODD_DECIMAL_VALUE_IN_A_BINARY_STRING.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/CHECK_IF_STRING_REMAINS_PALINDROME_AFTER_REMOVING_GIVEN_NUMBER_OF_CHARACTERS.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\n'),Compilation,False,CHECK_IF_STRING_REMAINS_PALINDROME_AFTER_REMOVING_GIVEN_NUMBER_OF_CHARACTERS.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/LONGEST_REPEATED_SUBSEQUENCE_1.d(8): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\nrun_dir/LONGEST_REPEATED_SUBSEQUENCE_1.d(9): Error: variable `n` cannot be read at compile time\nrun_dir/LONGEST_REPEATED_SUBSEQUENCE_1.d(15): Error: no property `charAt` for `str` of type `string`\nrun_dir/LONGEST_REPEATED_SUBSEQUENCE_1.d(15): Error: no property `charAt` for `str` of type `string`\nrun_dir/LONGEST_REPEATED_SUBSEQUENCE_1.d(25): Error: no property `charAt` for `str` of type `string`\nrun_dir/LONGEST_REPEATED_SUBSEQUENCE_1.d(35): Error: cannot implicitly convert expression `res.length - 1LU` of type `ulong` to `int`\nrun_dir/LONGEST_REPEATED_SUBSEQUENCE_1.d(36): Error: no property `charAt` for `res` of type `string`\n'),Compilation,False,LONGEST_REPEATED_SUBSEQUENCE_1.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/CHECK_GIVEN_STRING_ROTATION_PALINDROME.d(8): Error: cannot implicitly convert expression `str.length - 1LU` of type `ulong` to `int`\n'),Compilation,False,CHECK_GIVEN_STRING_ROTATION_PALINDROME.d,Error: cannot implicitly convert expression `str.length - 1LU` of type `ulong` to `int`,5,,
CompilationError('run_dir/COUNT_OF_PAIRS_SATISFYING_THE_GIVEN_CONDITION.d(13): Error: cannot implicitly convert expression `cast(ulong)a * s.length` of type `ulong` to `int`\nrun_dir/COUNT_OF_PAIRS_SATISFYING_THE_GIVEN_CONDITION.d(14): Error: cannot implicitly convert expression `cast(ulong)a * (s.length - 1LU)` of type `ulong` to `int`\n'),Compilation,False,COUNT_OF_PAIRS_SATISFYING_THE_GIVEN_CONDITION.d,Error: cannot implicitly convert expression `cast(ulong)a * s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/LONGEST_REPEATING_SUBSEQUENCE.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\nrun_dir/LONGEST_REPEATING_SUBSEQUENCE.d(8): Error: variable `n` cannot be read at compile time\n'),Compilation,False,LONGEST_REPEATING_SUBSEQUENCE.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER.d(8): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\n'),Compilation,False,CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/GOOGLE_CASE_GIVEN_SENTENCE.d(7): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\nrun_dir/GOOGLE_CASE_GIVEN_SENTENCE.d(9): Error: no property `charAt` for `s` of type `string`\nrun_dir/GOOGLE_CASE_GIVEN_SENTENCE.d(11): Error: no property `charAt` for `s` of type `string`\nrun_dir/GOOGLE_CASE_GIVEN_SENTENCE.d(12): Error: no property `charAt` for `s` of type `string`\nrun_dir/GOOGLE_CASE_GIVEN_SENTENCE.d(15): Error: no property `charAt` for `s` of type `string`\n'),Compilation,False,GOOGLE_CASE_GIVEN_SENTENCE.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/DYNAMIC_PROGRAMMING_SET_17_PALINDROME_PARTITIONING.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\nrun_dir/DYNAMIC_PROGRAMMING_SET_17_PALINDROME_PARTITIONING.d(8): Error: variable `n` cannot be read at compile time\nrun_dir/DYNAMIC_PROGRAMMING_SET_17_PALINDROME_PARTITIONING.d(9): Error: variable `n` cannot be read at compile time\n'),Compilation,False,DYNAMIC_PROGRAMMING_SET_17_PALINDROME_PARTITIONING.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
"CompilationError('run_dir/CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT.d(7): Error: cannot implicitly convert expression `num.length` of type `ulong` to `int`\nrun_dir/CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT.d(10): Error: slice `num` is not mutable\nrun_dir/CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT.d(10):        did you mean to concatenate (`num ~= ""00""`) instead ?\nrun_dir/CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT.d(14): Error: slice `num` is not mutable\nrun_dir/CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT.d(14):        did you mean to concatenate (`num ~= ""0""`) instead ?\nrun_dir/CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT.d(26): Error: undefined identifier `Math`\n')",Compilation,False,CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT.d,Error: cannot implicitly convert expression `num.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/PROGRAM_BINARY_DECIMAL_CONVERSION_1.d(9): Error: cannot implicitly convert expression `n.length` of type `ulong` to `int`\n'),Compilation,False,PROGRAM_BINARY_DECIMAL_CONVERSION_1.d,Error: cannot implicitly convert expression `n.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/COUNT_PALINDROMIC_SUBSEQUENCE_GIVEN_STRING.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\nrun_dir/COUNT_PALINDROMIC_SUBSEQUENCE_GIVEN_STRING.d(8): Error: variable `N` cannot be read at compile time\n'),Compilation,False,COUNT_PALINDROMIC_SUBSEQUENCE_GIVEN_STRING.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/PERFECT_REVERSIBLE_STRING.d(7): Error: cannot implicitly convert expression `str.length - 1LU` of type `ulong` to `int`\n'),Compilation,False,PERFECT_REVERSIBLE_STRING.d,Error: cannot implicitly convert expression `str.length - 1LU` of type `ulong` to `int`,5,,
"CompilationError('run_dir/CHECK_WHETHER_TWO_STRINGS_ARE_ANAGRAM_OF_EACH_OTHER.d(7): Error: cannot implicitly convert expression `str1.length` of type `ulong` to `int`\nrun_dir/CHECK_WHETHER_TWO_STRINGS_ARE_ANAGRAM_OF_EACH_OTHER.d(8): Error: cannot implicitly convert expression `str2.length` of type `ulong` to `int`\nrun_dir/CHECK_WHETHER_TWO_STRINGS_ARE_ANAGRAM_OF_EACH_OTHER.d(24): Error: function `CHECK_WHETHER_TWO_STRINGS_ARE_ANAGRAM_OF_EACH_OTHER.f_filled(string[] str1, string[] str2)` is not callable using argument types `(char[], char[])`\nrun_dir/CHECK_WHETHER_TWO_STRINGS_ARE_ANAGRAM_OF_EACH_OTHER.d(24):        cannot pass argument `param0[cast(ulong)i]` of type `char[]` to parameter `string[] str1`\n')",Compilation,False,CHECK_WHETHER_TWO_STRINGS_ARE_ANAGRAM_OF_EACH_OTHER.d,Error: cannot implicitly convert expression `str1.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/FIND_EQUAL_POINT_STRING_BRACKETS.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\n'),Compilation,False,FIND_EQUAL_POINT_STRING_BRACKETS.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/FUNCTION_COPY_STRING_ITERATIVE_RECURSIVE_1.d(9): Error: cannot implicitly convert expression `s2` of type `char[]` to `ulong`\n'),Compilation,False,FUNCTION_COPY_STRING_ITERATIVE_RECURSIVE_1.d,Error: cannot implicitly convert expression `s2` of type `char[]` to `ulong`,5,,
CompilationError('run_dir/MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\n'),Compilation,False,MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/MAXIMUM_NUMBER_CHARACTERS_TWO_CHARACTER_STRING.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\n'),Compilation,False,MAXIMUM_NUMBER_CHARACTERS_TWO_CHARACTER_STRING.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/CHECK_STRING_CAN_OBTAINED_ROTATING_ANOTHER_STRING_2_PLACES.d(10): Error: cannot implicitly convert expression `str2.length` of type `ulong` to `int`\nrun_dir/CHECK_STRING_CAN_OBTAINED_ROTATING_ANOTHER_STRING_2_PLACES.d(11): Error: no property `substring` for `str2` of type `string`\nrun_dir/CHECK_STRING_CAN_OBTAINED_ROTATING_ANOTHER_STRING_2_PLACES.d(11): Error: no property `substring` for `str2` of type `string`\nrun_dir/CHECK_STRING_CAN_OBTAINED_ROTATING_ANOTHER_STRING_2_PLACES.d(12): Error: no property `substring` for `str2` of type `string`\nrun_dir/CHECK_STRING_CAN_OBTAINED_ROTATING_ANOTHER_STRING_2_PLACES.d(12): Error: no property `substring` for `str2` of type `string`\n'),Compilation,False,CHECK_STRING_CAN_OBTAINED_ROTATING_ANOTHER_STRING_2_PLACES.d,Error: cannot implicitly convert expression `str2.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/COUNT_OF_OCCURRENCES_OF_A_101_PATTERN_IN_A_STRING.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\n'),Compilation,False,COUNT_OF_OCCURRENCES_OF_A_101_PATTERN_IN_A_STRING.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/DYNAMIC_PROGRAMMING_SET_17_PALINDROME_PARTITIONING_1.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\nrun_dir/DYNAMIC_PROGRAMMING_SET_17_PALINDROME_PARTITIONING_1.d(9): Error: variable `n` cannot be read at compile time\n'),Compilation,False,DYNAMIC_PROGRAMMING_SET_17_PALINDROME_PARTITIONING_1.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/BREAKING_NUMBER_FIRST_PART_INTEGRAL_DIVISION_SECOND_POWER_10.d(7): Error: cannot implicitly convert expression `N.length` of type `ulong` to `int`\nrun_dir/BREAKING_NUMBER_FIRST_PART_INTEGRAL_DIVISION_SECOND_POWER_10.d(11): Error: no property `substring` for `N` of type `string`\nrun_dir/BREAKING_NUMBER_FIRST_PART_INTEGRAL_DIVISION_SECOND_POWER_10.d(12): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\nrun_dir/BREAKING_NUMBER_FIRST_PART_INTEGRAL_DIVISION_SECOND_POWER_10.d(13): Error: no property `substring` for `N` of type `string`\n'),Compilation,False,BREAKING_NUMBER_FIRST_PART_INTEGRAL_DIVISION_SECOND_POWER_10.d,Error: cannot implicitly convert expression `N.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT.d(7): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\n'),Compilation,False,CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/PROGRAM_FIND_STRING_START_END_GEEKS.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\nrun_dir/PROGRAM_FIND_STRING_START_END_GEEKS.d(8): Error: cannot implicitly convert expression `corner.length` of type `ulong` to `int`\nrun_dir/PROGRAM_FIND_STRING_START_END_GEEKS.d(10): Error: no property `substring` for `str` of type `string`\nrun_dir/PROGRAM_FIND_STRING_START_END_GEEKS.d(10): Error: no property `substring` for `str` of type `string`\n'),Compilation,False,PROGRAM_FIND_STRING_START_END_GEEKS.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/DECODE_MEDIAN_STRING_ORIGINAL_STRING.d(7): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\nrun_dir/DECODE_MEDIAN_STRING_ORIGINAL_STRING.d(12): Error: incompatible types for `(s1) += (cast(int)s[cast(ulong)i] + cast(int)s[cast(ulong)(i + 1)])`: `string` and `int`\nrun_dir/DECODE_MEDIAN_STRING_ORIGINAL_STRING.d(15): Error: slice `s1` is not mutable\nrun_dir/DECODE_MEDIAN_STRING_ORIGINAL_STRING.d(16): Error: incompatible types for `(s[cast(ulong)(i + 1)]) + (s1)`: `immutable(char)` and `string`\nrun_dir/DECODE_MEDIAN_STRING_ORIGINAL_STRING.d(18): Error: slice `s1` is not mutable\n'),Compilation,False,DECODE_MEDIAN_STRING_ORIGINAL_STRING.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
